component	audience	legacy_site_count	analysis_status	analysis_scope	analysis_evidence	native_function	native_test_or_fixture	status	prerequisites
commodity-trade-action-output	player	33	exact_component_oracle	YT:[7CCF,8443): exact fixed-price commodity trade quantity, validation, confirmation, cancel and success paths; direction, maximum and totals, mixed output/input framing, cached/fresh record overlays, pager/carrier/endpoint state, treasury and non-transactional failure order	docs/runtime/commodity-trade-output.md; docs/gameplay/port-economy.md; tools/yttrade_output.py; tests/test_yttrade_output.py; analysis/disassembly/yttrade-output.static.txt	src/yt_session.c::{trade_commodity,reload_player,session_0317,session_031f,session_0357,session_02db,session_02fc,session_a8d2}; src/yt_game.c::{yt_trade_treasury_overlay,yt_trade_credit_overlay,yt_trade_holds_overlay,yt_trade_stock_overlay}; src/yt_session.c::mutate_player_credits; src/yt_game.c::yt_credit_mutation_run	tests/test_presentation.c::test_commodity_trade_presentation; tests/test_score.c::check_hostile_menu_front; tests/test_score.c::check_credit_mutation_transaction	candidate	 Accepted credit settlement enters the shared raw credit transaction;accepted buy transcript, signed schedule and raw treasury/credit/three-hold/selected-stock slices are represented; add exact sell/cancel/retry/zero-maximum, complete controller state/failure-prefix and physical database-order fixtures
earth-port-planet-team-spy-and-combat	player	0	aggregate_catalog	aggregate catalog; owns no presentation sites	docs/gameplay/earth-store-lottery.md; docs/gameplay/port-economy.md; docs/gameplay/planet-menu.md; docs/gameplay/planet-actions.md; docs/gameplay/teams.md; docs/gameplay/spies.md; docs/gameplay/player-combat.md	(catalog only)	(not applicable)	verified	none; aggregate owns no presentation sites
radio-message-reader-output	player	6	exact_component_oracle	YT-SUB:2614 successful complete-record scan: exact headings, compiled visibility, name/header/body bytes, private 22-row pause and timed wait, endpoint/ANSI/local state, inclusive zero EOF probe, and raw counter PUT	docs/runtime/radio-message-output.md; docs/file-formats/YTRMSG.md; tools/ytrmsg_output.py; tests/test_ytrmsg_output.py; analysis/disassembly/ytrmsg-output.static.txt	src/yt_session.c::{radio_read,radio_name_bytes}; src/yt_data.c::{yt_radio_reader_decide,yt_radio_reader_header,yt_radio_reader_mutate}; src/yt_pager.c::{yt_radio_pager_begin,yt_radio_pager_add_pair,yt_radio_pager_add_body}; src/yt_presentation.c::{yt_present_line,yt_present_character}	tests/test_data.c::test_record; tests/test_presentation.c::{test_radio_private_pager,test_radio_reader_presentation}; tests/test_input_model.c::test_timed_wait	candidate	canonical 45-byte empty and 139-byte personal direct streams, corrupt-mode decision, binary headers, counter bytes and pager thresholds are pinned; add joined physical file/name GET/PUT/CLOSE, endpoint/wait fault, partial-record and asynchronous-function-key fixtures
radio-composer-target-output	player	3	exact_component_oracle	YT:[93A1,9548) target-selection front and YT:[9E86,9F7F) personal-recipient search: exact warm-up/prompt, target normalization, ALL/team/personal branching, physical-slot tuning rows, live-player candidate scan and confirmation, endpoint/ANSI/local state, and bounded dependency failures	docs/runtime/radio-composer-output.md; docs/gameplay/radio-composer.md; tools/ytradio_composer_output.py; tests/test_ytradio_composer_output.py; analysis/disassembly/ytradio-composer-output.static.txt	src/yt_session.c::{radio_compose,radio_player_search,radio_name,reload_player,team_load,session_0317,session_031f,session_0345,session_a8d2,session_02db,session_02fc,session_present_text}	tests/test_presentation.c::{test_radio_target_blank_presentation,test_computer_front_presentation}; tests/test_qb.c; tests/test_input_model.c	candidate	exact common warmup/target blank path, whole target normalization, fresh team gate, raw personal confirmation, tuning/limit/body-handoff structure and canonical 94-byte blank body are represented; add authoritative raw fixed-name/FIELD/team-slot memory, accepted ALL/TEAM/personal byte/state fixtures, all endpoints and failure prefixes
radio-composer-body-output	player	69	exact_component_oracle	YT:[9548,9E86) message body, command menu, list/abort/continue/edit paths, recipient-major send fanout, and success exit: exact input/wrap/backspace behavior, prompt/row bytes, endpoint/ANSI/local state, news/YTRMSG persistence, and bounded dependency failures	docs/runtime/radio-body-output.md; docs/gameplay/radio-composer.md; tools/ytradio_body_output.py; tests/test_ytradio_body_output.py; analysis/disassembly/ytradio-body-output.static.txt	src/yt_session.c::{radio_compose,radio_line_prompt,radio_edit_draft,radio_append,append_news,session_0317,session_031f,session_0345,session_0357,session_036f,session_a8d2,session_02db,session_02fc,session_present_text}; src/yt_data.c::yt_radio_message_record	tests/test_presentation.c::test_radio_body_presentation; tests/test_data.c::test_record; tests/test_qb.c; tests/test_input_model.c	candidate	canonical 7-byte first-empty and 99-byte plain personal-send bodies, exact 86-byte personal record, recipient-major/news-radio order, line/menu/abort/edit wrapper structure and styled success are represented; add exact custom-poll timing, wrap cleanup, backspace local LOCATE, raw draft/pager cells, full edit/list/continue variants, physical writer FIELD/file prefixes, all endpoints and failures
radio-message-composer	player	0	aggregate_catalog	aggregate catalog; owns no presentation sites	docs/gameplay/radio-composer.md; docs/file-formats/YTRMSG.md; tools/ytradio.py; tools/ytrmsg.py	(catalog only)	(not applicable)	verified	none; aggregate owns no presentation sites
xannor-headquarters-victory	player	5	exact_component_oracle	YT-SUB:[A7DE,A9B5): exact inherited-state presentation of the pinned shipped 230-byte XANNORHQ.TXT LINE INPUT sequence, raw pause and consumed timed wait, blank/bonus bytes, ANSI/plain/local state, three music calls, news/radio record bytes, credit and logical-slot-21 mutations, call-boundary failure prefixes, the canonical raw YTWorld/FIELD/string/pager adapter, the player-missile 731B caller edge, the direct-Attack 1248 predicate/call/return raw-world edge, the plasma B05F predicate/call/return raw-world edge, and the A9B5 RETF epilogue	docs/gameplay/xannor-victory.md; docs/runtime/xannor-victory-output.md; tools/ythq_victory.py; tools/ythq_victory_output.py; tools/ythq_victory_world.py; tools/ytdirect_hq_world.py; tools/ytplasma_hq_world.py; tests/test_ythq_victory_output.py; tests/test_ythq_victory_world.py; tests/test_ythq_callers_world.py; tests/test_ytmissile_world.py; analysis/disassembly/ythq-victory-output.static.txt	src/yt_session.c::{xannor_victory,xannor_victory_file,session_present_text,session_wait,session_sound,append_news_bytes,radio_append_bytes,reload_player,write_player}; src/yt_text.c::{yt_text_input_open,yt_text_input_read_line,yt_text_input_close,yt_text_sequential_play_run}; src/yt_game.c::{yt_player_stored_name,yt_xannor_victory_winner}; src/yt_session.c::apply_player_credit_mutation; src/yt_game.c::{yt_xannor_victory_run,yt_credit_mutation_run}	tests/test_data.c::{test_sequential_text_playback,test_text_input}; tests/test_presentation.c::test_xannor_file_playback; tests/test_score.c::{check_xannor_victory_transaction,check_projectile_parent_model}; tests/test_input_model.c::test_timed_wait; tests/test_sound.c; tests/test_score.c::check_credit_mutation_transaction	candidate	 The award enters the shared raw credit transaction;complete 21-event body transaction and 14-event sequential-file tape pin normal order and every injected dependency cut; native stream pins case resolution, dynamic rows and exact binary LINE INPUT grammar; generated-asset join pins exact 230-byte plain/240-byte ANSI playback and local line/color events; direct/raw/bold presentation ownership, queue clear, fresh credit overlay, three sound calls, binary winner/news/radio and fresh logical-slot-21 metadata overlay are represented; add full joined victory framebuffer/effect tape, raw file-block/error-cleanup state and physical read/close/append/PUT/endpoint faults
yt-init-whole-program-output-and-generated-data	operator initialization and generated player data	355	exact_component_oracle	YT-INIT rooted at 0030: every reachable PRINT/input/cursor/audio/dynamic-string operation and every strict literal reference, including the confirmation split, parameterized console tapes, generated YTDATA/YTNEWS/YTNAME/YTRMSG bytes, Xannor names, normal termination, and successful RUN handoff; caller numeric spelling and physical results compose through their existing shared targets	docs/runtime/initialization.md; docs/runtime/yt-init-console-prefix.md; tools/ytinit_console_prefix.py; tools/initializers.py; tests/test_ytinit_console_prefix.py; tests/test_initializers.py; analysis/disassembly/yt-init-console-prefix.static.txt; analysis/disassembly/yt-init.reachable.lst	src/main_yt_init.c::{main,console_present}; src/yt_init.c::{yt_init_present_confirmation_prefix,yt_init_present_opening,yt_initializer_prepare_yt,yt_init_present_prepared_configuration,yt_initialize_yt_prepared,write_config_and_players,randomize_sector,build_graph,write_world_database,write_banner,write_yt_auxiliary}	tests/test_utilities.c::{test_yt_init_pre_input_presentation,test_yt_init_presented_world,test_yt_init_presentation_pre_put_failure,test_yt_init_presentation_failure_prefix}; tests/test_clean_install.c::main	candidate	upstream 1248add9 and the native presenter agree on the restored turns-per-day and lottery-play rows and their 31-event accepted tape; add canonical editor/echo/full framebuffer and local physical adapter, remaining raw BRUN/FIELD state, every file/output failure prefix and RUN replacement result
ytconfig-startup-menu-output	local operator configuration startup and menu	108	exact_component_oracle	YTCONFIG:0030..053B entry, OPEN/LOF split, empty-file fatal terminal, FIELD/GET and working repairs, common menu redraw, input retry, folded-key echo, and first P dispatch; shared runtime numeric, file, PRINT, framebuffer, and END targets retain their canonical address-owned interfaces	docs/runtime/configuration-editor.md; tools/ytconfig.py; tools/ytconfig_output.py; tools/ytconfig_cleanup.py; tests/test_ytconfig.py; tests/test_ytconfig_output.py; tests/test_ytconfig_cleanup.py; analysis/disassembly/ytconfig.static.txt; analysis/disassembly/ytconfig-output.static.txt; analysis/disassembly/ytconfig-cleanup.static.txt; analysis/disassembly/ytconfig.reachable.lst	src/main_ytconfig.c::{main,redraw_repairs,write_output}; src/yt_config_output.c::{yt_config_prepare_menu_working,yt_config_compose_menu_prompt,yt_config_compose_command_echo,yt_config_compose_missing_data,yt_config_compose_exit}	tests/test_ytconfig_output.c; tests/test_utilities.c::{test_ytconfig,test_ytconfig_missing_data}	candidate	exact working normalization, redraw rows, raw numeric spacing, binary path, command echo, J/X process tape and LOF-zero terminal are represented; add raw BRUN loader/FIELD/GET/PUT/DATE$/INKEY$/PRINT/frame/CLOSE/END state, local framebuffer, first-P child join and every staged failure prefix
ytconfig-planet-editor-output	local operator planet-name editor	155	exact_component_oracle	YTCONFIG:053E..0AE9 selected P branch: planet-record scan, empty-game return, list/pause loop, selector validation, protected names, replacement confirmation/cancel/save, FIELD GET/LSET/PUT, wait loop, and every common-menu return	docs/runtime/configuration-editor.md; tools/ytconfig.py; tools/ytconfig_output.py; tests/test_ytconfig.py; tests/test_ytconfig_output.py; analysis/disassembly/ytconfig.static.txt; analysis/disassembly/ytconfig-output.static.txt; analysis/disassembly/ytconfig.reachable.lst	src/main_ytconfig.c::{main,edit_planets,write_output}; src/yt_config_output.c::{yt_config_compose_planet_entry,yt_config_compose_planet_menu,yt_config_compose_planet_key_echo,yt_config_compose_planet_number_prompt,yt_config_compose_planet_list_header,yt_config_compose_planet_list_row,yt_config_compose_planet_pause,yt_config_compose_planet_blank,yt_config_compose_planet_invalid,yt_config_compose_planet_protected,yt_config_compose_planet_edit,yt_config_compose_planet_confirmation,yt_config_compose_planet_response_echo,yt_config_compose_planet_cancel,yt_config_compose_planet_saved,yt_config_planet_selection_in_range,yt_config_planet_selection_protected,yt_config_planet_pause_after}; src/yt_game.c::{yt_game_read_planet,yt_game_write_planet}; src/qb.c::{qb_cint,qb_title_case}	tests/test_ytconfig_output.c::test_planet_editor_output; tests/test_utilities.c::test_ytconfig_planet_editor	candidate	exact loading/count/menu/list/pause/diagnostic/protection/edit/confirmation/cancel/save CR bytes and BEEPs, sparse 1..75 preload, raw-selection bounds/protection bypass, confirmation retry, one-record overlay and unrelated-record nonmutation are represented; add raw INKEY$/INPUT/FIELD/GET/PUT/descriptor/frame state, corrupt CINT/name domains, every staged failure prefix and local framebuffer
ytconfig-port-editor-output	local operator port-name editor	73	exact_component_oracle	YTCONFIG:0AE9..0E14 selected O branch: search input and scan, match confirmation, end/not-found results, replacement input, confirmation/cancel/save, FIELD LSET/PUT, pauses, and common-menu returns	docs/runtime/configuration-editor.md; tools/ytconfig.py; tools/ytconfig_output.py; tests/test_ytconfig.py; tests/test_ytconfig_output.py; analysis/disassembly/ytconfig.static.txt; analysis/disassembly/ytconfig-output.static.txt; analysis/disassembly/ytconfig.reachable.lst	src/main_ytconfig.c::{main,edit_ports,write_output}; src/yt_config_output.c::{yt_config_compose_port_search_prompt,yt_config_compose_port_search_echo,yt_config_compose_port_match_prompt,yt_config_compose_port_response_echo,yt_config_compose_port_not_found,yt_config_compose_port_end_list,yt_config_compose_port_wait_prompt,yt_config_compose_port_replacement_prompt,yt_config_compose_port_confirmation,yt_config_compose_port_cancel,yt_config_compose_port_saved}; src/yt_game.c::{yt_game_read_port,yt_game_write_port}; src/qb.c::{qb_cint,qb_ascii_upper,qb_title_case}	tests/test_ytconfig_output.c::test_port_editor_output; tests/test_utilities.c::test_ytconfig_port_editor	candidate	exact search/raw-echo/match-response/blank/not-found/end-list/replacement/confirmation/cancel/save/wait bytes, logical 2..300 search order, ASCII search, normalize-before-cap, all ordinary result branches, one-record overlay and 299-record nonmutation are represented; add binary fixed-name/INPUT/INKEY$/FIELD/GET/PUT/frame state, corrupt length domains, every staged failure prefix and physical local framebuffer
ytconfig-alias-editor-output	local operator player-name/alias editor	176	exact_component_oracle	YTCONFIG:0E14..15B5 selected N branch: YTNAME load/EOF scan, empty and populated list/pause loops, selector/action input, cancel/confirm, nontransactional YTNAME rewrite, matching-player propagation, completion wait, failures, and common-menu returns	docs/runtime/configuration-editor.md; tools/ytconfig.py; tools/ytconfig_output.py; tests/test_ytconfig.py; tests/test_ytconfig_output.py; analysis/disassembly/ytconfig.static.txt; analysis/disassembly/ytconfig-output.static.txt; analysis/disassembly/ytconfig.reachable.lst	src/main_ytconfig.c::{main,edit_aliases,fixed_contains,write_output}; src/yt_config_output.c::{yt_config_compose_alias_entry,yt_config_compose_alias_menu,yt_config_compose_alias_key_echo,yt_config_compose_alias_list_header,yt_config_compose_alias_list_row,yt_config_compose_alias_pause,yt_config_compose_alias_blank,yt_config_compose_alias_number_prompt,yt_config_compose_alias_invalid,yt_config_compose_alias_edit,yt_config_compose_alias_confirmation,yt_config_compose_alias_response_echo,yt_config_compose_alias_cancel,yt_config_compose_alias_saved,yt_config_alias_selection_in_range,yt_config_alias_pause_after}; src/yt_names.c::{yt_names_load,yt_names_write,yt_names_split}; src/yt_game.c::{yt_game_read_player,yt_game_write_player}; src/qb.c::{qb_cint,qb_title_case}	tests/test_ytconfig_output.c::test_alias_editor_output; tests/test_utilities.c::test_ytconfig_alias_editor	candidate	add exact local LOCATE/framebuffer reduction, raw BRUN INPUT#/EOF/static-array-overflow/INKEY$/INPUT/CINT/FIELD/GET/PUT/sequential-output/frame state, malformed YTNAME domains, all non-atomic failure prefixes and physical endpoint behavior
ytconfig-genesis-editor-output	local operator Genesis-threshold editor	16	exact_component_oracle	YTCONFIG:15B5..165E selected L branch: current instructions and prompt, input/blank return, VAL/range/BEEP result, record-1 GET/MKS$/LSET/PUT, failures, and common-menu return	docs/runtime/configuration-editor.md; tools/ytconfig.py; tools/ytconfig_output.py; tests/test_ytconfig.py; tests/test_ytconfig_output.py; analysis/disassembly/ytconfig.static.txt; analysis/disassembly/ytconfig-output.static.txt; analysis/disassembly/ytconfig.reachable.lst	src/main_ytconfig.c::{main,edit_genesis,write_output,store_config}; src/yt_config_output.c::{yt_config_compose_genesis_prompt,yt_config_compose_local_beep,yt_config_genesis_valid}	tests/test_ytconfig_output.c::test_genesis_editor; tests/test_utilities.c::test_ytconfig_genesis	candidate	exact help/descriptor/prompt bytes, final column, strict threshold, separate local BEEP, blank-input order, invalid nonmutation, valid single-field overlay and menu redraw are represented; add raw INPUT/VAL/MBF/GET/FIELD/LSET/PUT state, physical BEEP/framebuffer, failure prefixes and corrupt domains
ytconfig-headquarters-relocation-output	local operator Xannor Headquarters relocation	17	exact_component_oracle	YTCONFIG:165E..1875 selected H branch: prompt/input/range, sector occupancy checks, merged fighters, exact four-write old/new/overlay/config sequence with every partial prefix, failures, and common-menu return	docs/runtime/configuration-editor.md; tools/ytconfig.py; tools/ytconfig_output.py; tests/test_ytconfig.py; tests/test_ytconfig_output.py; analysis/disassembly/ytconfig.static.txt; analysis/disassembly/ytconfig-output.static.txt; analysis/disassembly/ytconfig.reachable.lst	src/main_ytconfig.c::{main,edit_headquarters,write_output,store_config}; src/yt_config_output.c::{yt_config_compose_hq_prompt,yt_config_compose_hq_diagnostic,yt_config_hq_in_range}; src/yt_game.c::{yt_game_read_sector,yt_game_write_sector}	tests/test_ytconfig_output.c::test_headquarters_editor; tests/test_utilities.c::test_ytconfig_headquarters	candidate	exact numeric/prompt/diagnostic bytes, SINGLE range bounds, fractional physical selection/raw persistence, four ordered record overlays and unrelated-byte preservation are represented; add blank/occupied/corrupt domains, raw INPUT/VAL/MBF/FIELD state, all partial-write/failure prefixes and physical framebuffer
ytconfig-scalar-options-and-exit-output	local operator remaining configuration options	75	exact_component_oracle	YTCONFIG:1875..1DF1 sequential I/J/K/A/X/B/C/D/E/F/G dispatch chain: scoreboard path, local-screen toggle, lottery, maximum holds, exit, turns, fighters, credits, initial holds, dead days, maintenance marker, every validation/persistence result, END, and common-menu return	docs/runtime/configuration-editor.md; tools/ytconfig.py; tools/ytconfig_output.py; tools/ytconfig_cleanup.py; tests/test_ytconfig.py; tests/test_ytconfig_output.py; tests/test_ytconfig_cleanup.py; analysis/disassembly/ytconfig.static.txt; analysis/disassembly/ytconfig-output.static.txt; analysis/disassembly/ytconfig-cleanup.static.txt; analysis/disassembly/ytconfig.reachable.lst	src/main_ytconfig.c::{main,numeric_edit,edit_maintenance,edit_scoreboard,write_output,store_config}; src/yt_config_output.c::{yt_config_compose_scoreboard_prompt,yt_config_compose_scoreboard_too_long,yt_config_compose_scalar_prompt,yt_config_compose_scalar_rejection,yt_config_scalar_blank_unchanged,yt_config_scalar_valid,yt_config_compose_exit}; src/yt_config.c::yt_current_date_serial	tests/test_ytconfig_output.c::{test_dispatch_and_exit,test_scalar_options}; tests/test_utilities.c::{test_ytconfig,test_ytconfig_scalar_options}	candidate	exact prompt/rejection/exit CR bytes, blank and boundary predicates, silent toggle/rejects, scoreboard default/length state, accepted fractional raw overlays, maintenance reprompt/residue and menu redraw are represented; add raw INPUT/VAL/MBF/GET/FIELD/LSET/PUT/DATE$/frame state, every staged failure prefix and physical local framebuffer
ytconfig-date-name-case-helpers	configuration state later presented or persisted	4	exact_component_oracle	YTCONFIG:1DF1..232D shared date serial, title-style CP437 name normalizer, and ASCII uppercase helper: complete loops, numeric/descriptor state, callers/returns, faults, and returned payload; the helpers emit no direct bytes	docs/runtime/configuration-editor.md; tools/ytconfig.py; tools/ytconfig_output.py; tests/test_ytconfig.py; tests/test_ytconfig_output.py; analysis/disassembly/ytconfig.static.txt; analysis/disassembly/ytconfig-output.static.txt; analysis/disassembly/ytconfig.reachable.lst	src/yt_config.c::{date_serial_epoch,yt_date_serial,yt_current_date_serial}; src/qb.c::{qb_title_case_n,qb_title_case,qb_ascii_upper_n,qb_ascii_upper}; src/main_ytconfig.c::edit_maintenance	tests/test_score.c::check_date_serial; tests/test_qb.c::test_strings	candidate	exact helper results, empty/binary/CP437 byte domains, fractional epoch preservation and the maintenance-editor float-epoch call are represented; add raw movable-string/DATE$/VAL/MBF descriptor state, all caller-specific joins and every allocation/clock/runtime failure prefix
ytmaint-entry-gate-player-prefix-output	local operator daily-maintenance entry and player phase	53	exact_component_oracle	YTMAINT:0030..0517 wrapper/body entry plus reached shared 672D message/news compaction, random OPEN/FIELD and record-1 GET, date/maintenance-marker equality, same-day and ordinary prefixes, protected-sector mine clear, player-phase heading, compaction rows, normal body-return rows, and END/physical error edges	docs/runtime/maintenance-entry.md; tools/ytmaint_entry.py; tools/ytmaint_daily.py; tools/ytmaint_output.py; tests/test_ytmaint_entry.py; tests/test_ytmaint_daily.py; tests/test_ytmaint_output.py; analysis/disassembly/ytmaint-entry.static.txt; analysis/disassembly/ytmaint-output.static.txt; analysis/disassembly/ytmaint.reachable.lst	src/yt_maint.c::{yt_maintenance_same_day,yt_maintenance_compose_entry,yt_maintenance_compose_wrapper,yt_maintenance_compose_message_compaction,yt_maintenance_clear_protected_mines,yt_maintenance_run,yt_radio_compact,yt_news_rotate_run,yt_news_rotate}	tests/test_score.c::{check_maintenance_entry_output,check_maintenance_protected_mines}; tests/test_utilities.c::{test_news_rotation_transaction,test_maintenance_message_compaction}; tests/test_clean_install.c::main	candidate	exact immutable blank/revision screen operands, ordinary/same-day fallthrough, protected-sector mutation, pre-file compaction rows, the six newspaper-rotation operation prefixes, TIME$/DATE$ news acquisition, player-phase continuation and wrapper completion are joined in the physical fresh-install process; add full multi-record player join, raw RANDOM/FIELD/file/frame state, END and remaining physical/error prefixes
ytmaint-player-aging-output	local operator player aging, expiry, and deletion	32	exact_component_oracle	YTMAINT:0517..07A3 bounded records 2..51 player FIELD loop: empty slots, cloak charge/write/expiry priority, expiry display and radio message, inactive deletion display/transaction, the reached 7039 YTNAME/TEMPWORK filter and replacement, all physical prefixes, and the loop back-edge	docs/runtime/maintenance-entry.md; tools/ytmaint_daily.py; tools/ytmaint_output.py; tools/ytname.py; tools/ytname_compaction.py; tests/test_ytmaint_daily.py; tests/test_ytmaint_output.py; tests/test_ytname.py; tests/test_ytname_compaction.py; analysis/disassembly/ytmaint-output.static.txt; analysis/disassembly/ytmaint-ytname-compaction.static.txt; analysis/disassembly/ytmaint.reachable.lst	src/yt_maint.c::{yt_maintenance_player_name,yt_maintenance_age_player,yt_maintenance_compose_player_aging,yt_maintenance_maintain_players,maintain_players_impl,yt_maintenance_expire_player,yt_maintenance_remove_alias}	tests/test_score.c::{check_maintenance_player_aging,check_maintenance_player_pass,check_maintenance_writers}; tests/test_utilities.c::{test_expired_player_cleanup,test_maintenance_alias_compaction}	candidate	exact raw-zero versus raw-nonzero/CINT name gate, negative-cloak normalization, SINGLE charge/clamp/write, expiry-before-deletion priority, expiry/deletion screen and news rows, fresh TIME/DATE radio grammar, cleanup handoffs, ascending multi-record order and final bound are represented; add exact stdout physical reduction, raw FIELD/record-argument/cache/frame state and every staged I/O/runtime failure prefix
ytmaint-port-maintenance-output	local operator port maintenance and plague aggregate	13	exact_component_oracle	YTMAINT:07A3..0FAE inclusive records 2056..3055 PORT FIELD/RNG/PUT loop, exact per-record mutation and draw order, shared physical PUT result domain, zero/nonzero plague-count split, and exact heading/aggregate bytes through the common 0FAE merge	docs/runtime/maintenance-entry.md; tools/ytmaint_daily.py; tools/ytmaint_port.py; tools/ytmaint_output.py; tests/test_ytmaint_daily.py; tests/test_ytmaint_port.py; tests/test_ytmaint_output.py; analysis/disassembly/ytmaint-port.static.txt; analysis/disassembly/ytmaint-output.static.txt; analysis/disassembly/ytmaint.reachable.lst	src/yt_maint.c::{yt_maintenance_compose_port_phase,yt_maintenance_update_port,yt_maintenance_maintain_ports,maintenance_write_port}	tests/test_score.c::{check_maintenance_port_model,check_maintenance_port_pass}	candidate	exact zero/nonzero output, SINGLE count spelling, elapsed arithmetic, strict plague/draw/cap/classification branches, ascending physical pass, owned raw FIELD lanes, fresh clock samples, RNG continuity, PUTs, screen-before-news order and aggregate bytes are represented; add dynamic-array/frame/file-registry state and every staged clock/RNG/GET/PUT/output/news/runtime failure prefix
ytmaint-planet-maintenance-output	local operator planet maintenance and disaster rows	35	exact_component_oracle	YTMAINT:0FAE..1CE3 inclusive records 3056..3155 scan, strict active predicate, PLANET-layout FIELD mutation, exact disaster draw order and optional rows, shared numeric spellings, per-record physical PUT result domain, and loop merge before the post-planet screen selector	docs/runtime/maintenance-entry.md; tools/ytmaint_daily.py; tools/ytmaint_planet.py; tools/ytmaint_output.py; tests/test_ytmaint_daily.py; tests/test_ytmaint_planet.py; tests/test_ytmaint_output.py; analysis/disassembly/ytmaint-planet.static.txt; analysis/disassembly/ytmaint-output.static.txt; analysis/disassembly/ytmaint.reachable.lst	src/yt_maint.c::{yt_maintenance_compose_planet_phase,yt_maintenance_update_planet,yt_maintenance_maintain_planets,maintenance_write_planet}	tests/test_score.c::{check_maintenance_planet_model,check_maintenance_planet_pass}	candidate	exact inactive/active scan, SINGLE/DOUBLE arithmetic, unconditional and event draw order, plague/civil-war precedence, optional ground/expense rows, binary-safe name prefix, owned raw FIELD lanes, fresh clock samples, ascending PUTs, screen-before-news ordering and final loop bound are represented; add dynamic-array/frame/file-registry state, shipped-scale pass and every staged clock/RNG/GET/PUT/output/news/runtime failure prefix
ytmaint-wanderer-output	local operator Wanderer relocation rows and news	18	exact_component_oracle	YTMAINT:1CE3..2069 ascending unlink scan, optional rebuild, reseeded candidate loop, final planet update, exact direct-screen rows and YTNEWS append payloads. Every repeated GET/PUT, 79E3 date call, 78F3 bounded-random call, and 57D1 news call is ordered by its real caller address and delegates to that one shared target; failure prefixes retain exactly the bytes emitted before the call	docs/runtime/maintenance-entry.md; docs/file-formats/YTNEWS.md; tools/ytmaint_ai.py; tools/ytmaint_wanderer.py; tools/ytmaint_output.py; tools/ytnews.py; tests/test_ytmaint_ai.py; tests/test_ytmaint_wanderer.py; tests/test_ytmaint_output.py; analysis/disassembly/ytmaint-ai.static.txt; analysis/disassembly/ytmaint-wanderer.static.txt; analysis/disassembly/ytmaint-output.static.txt; analysis/disassembly/ytmaint.reachable.lst	src/yt_maint.c::{yt_maintenance_compose_wanderer_phase,yt_maintenance_maintain_wanderer,maintenance_write_wanderer_sector,maintenance_write_wanderer_rebuild,maintenance_write_wanderer_planet}	tests/test_score.c::{check_maintenance_wanderer_model,check_maintenance_wanderer_pass}	candidate	add raw temporary/frame/file-registry state, exact physical console reduction, shipped-scale scan and every staged GET/PUT/date/RNG/output/news/runtime failure prefix
ytmaint-news-writer-output	generated player-visible YTNEWS rows	3	exact_component_oracle	shared YTMAINT:57D1..5806 append transaction: one file-5 destination selection, the caller-supplied string plus newline, PRINT completion, CLOSE, and SUBROUTINE_END. All callers reuse this one qualified target and supply their own payload/state	docs/file-formats/YTNEWS.md; tools/ytnews.py; tests/test_ytnews.py; analysis/disassembly/ytmaint.reachable.lst	src/yt_maint.c::{yt_news_append,maintenance_news_append_bytes}	tests/test_score.c::check_maintenance_writers	candidate	exact repeated binary-safe caller payloads, CRLF and one DOS EOF are represented; connect every caller and add raw PRINT#/file-5 registry state plus every staged OPEN/PRINT/CLOSE failure prefix
